,Video Name,Thumbnail URL,Video ID,length,description snippet,date published
49,Ask Adam: Why do we like extremely hot/cold food? Real vanilla vs imitation vanilla? (PODCAST E20),https://i.ytimg.com/vi/8dOJz8T3J4A/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBiN74ZI4a8iPboBL31K2MLPrbbww,8dOJz8T3J4A,"1 hour, 46 seconds","Thanks to Skillshare for sponsoring this episode! The first 1,000 people to use this link will get a 1 month free trial of Skillshare: https://skl.sh/adamragusea08221

Thanks to Indeed for...",2022-11-29 13:32:39.233961
50,Fancier mushroom risotto (vegan or not),https://i.ytimg.com/vi/R_j5k4YCDdI/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCM2WsFA7ZuxsqXGEeiRCogep4vew,R_j5k4YCDdI,"11 minutes, 26 seconds","Thanks to Fetch Rewards for sponsoring this video! Download the Fetch Rewards app now → https://fetch.thld.co/ragusea_0822 and use the code RAGUSEA to get 5,000 points on your first receipt!...",2022-11-29 13:32:39.233961
51,How smoke preserves food,https://i.ytimg.com/vi/qNrnwAKBU3Q/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBfI2sDLLesjZsWCXlmeVhYmrkRBw,qNrnwAKBU3Q,"16 minutes, 31 seconds","Thanks to Surfshark for sponsoring this video! Get Surfshark VPN at https://Surfshark.deals/adamragusea — Enter promo code ADAMRAGUSEA for 83% off and 3 extra months for free!

2014 literature...",2022-11-28 13:32:39.233961
52,Ask Adam: Why is European food bland? Are closed mussels actually bad? Career advice? (PODCAST E19),https://i.ytimg.com/vi/NkFCU8oVhFA/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDlnTvQemgue1RglvPcog7MUXRHvA,NkFCU8oVhFA,"1 hour, 1 minute, 28 seconds","Thanks to Shaker & Spoon for sponsoring this episode! Go to https://shakerandspoon.com/ragusea and use code ragusea to get $20 off your first box! 

Thanks to 80,000 Hours for sponsoring this...",2022-11-28 13:32:39.233961
53,Citrus beef stir fry with grilled peppers,https://i.ytimg.com/vi/HM1BJ_JXj20/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLDDJgeXiJXQ6HKsQMByIrt0CJZDDA,HM1BJ_JXj20,"7 minutes, 53 seconds","Thanks to Squarespace for sponsoring this video! Go to Squarespace.com for a free trial, and when you’re ready to launch, go to http://squarespace.com/ragusea and add code “RAGUSEA"" at...",2022-11-28 13:32:39.233961
54,"Cucumbers are melons, and sometimes they explode",https://i.ytimg.com/vi/1H2EGYcKF-c/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLD9_dL6icXKt-1iMp-JTpgh0bZGCA,1H2EGYcKF-c,"12 minutes, 12 seconds","Thanks to Trade Coffee for sponsoring this video! Get $30 off your first order plus free shipping: https://www.drinktrade.com/RAGUSEA

2000 experimental study on what causes the cucumber burps:...",2022-11-28 13:32:39.233961
55,Ask Adam: How dare you change Italian food? WTF is cross-contamination? Beans and gas? (PODCAST E18),https://i.ytimg.com/vi/v6o9TF3BYAQ/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBjBRlBicCvteE_e3q804_VdxC5tw,v6o9TF3BYAQ,"59 minutes, 29 seconds","Thanks to Policygenius for sponsoring this episode! To start comparing quotes and simplify insurance-buying, check out Policygenius: https://www.policygenius.com/raguseapodcast

Thanks to Indeed...",2022-11-28 13:32:39.233961
56,Eton mess — most British dessert ever?,https://i.ytimg.com/vi/GyVA_yjRKdw/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLBUSCwgnYK6fFEnq1auPS0yVYDLYg,GyVA_yjRKdw,"10 minutes, 34 seconds","Thanks to Aura for sponsoring this video! Try 14 days free and protect yourself from identity theft: https://aura.com/adam

***TRADITIONAL RECIPE, SERVES FOUR***

2 egg whites
1 lb (454g) fresh...",2022-11-28 13:32:39.233961
57,Do you really have to 'fold' egg foams? Can't you just mix them?,https://i.ytimg.com/vi/HsMzE2MwN8o/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLB3YqE4nChVo4QZYZj1HISKEC_xbA,HsMzE2MwN8o,"12 minutes, 36 seconds",Thanks to Helix Sleep for sponsoring this video! Click here https://helixsleep.com/ragusea for up to $200 off your Helix Sleep mattress plus two free pillows! Free shipping within the US! #helixsle...,2022-11-28 13:32:39.233961
58,Ask Adam: Why refrigerate eggs? Is bigger salt better? Why are recipes always 'easy'? (PODCAST E17),https://i.ytimg.com/vi/EP4YajqsJJ4/hqdefault.jpg?sqp=-oaymwEbCKgBEF5IVfKriqkDDggBFQAAiEIYAXABwAEG&rs=AOn4CLCfYNpqlyQ_sOtzBf3oU42yfupMOA,EP4YajqsJJ4,"1 hour, 4 minutes, 55 seconds","Thanks to Shaker & Spoon for sponsoring this episode! Go to https://shakerandspoon.com/ragusea and use code ragusea to get $20 off your first box! 

00:33 Why do Americans refrigerate their...",2022-11-28 13:32:39.233961
